RuleID,Name,Severity,Effort,IntroDate,RemoveDate,,File,Project,Intro-Commit,Intro-Author,Remove-Commit,Remove-Author
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
360,Undefined name,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
360,Undefined name,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
360,Undefined name,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
394,Undefined variable,MAJOR,10,2014/9/18,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip
394,Undefined variable,MAJOR,10,2014/9/18,2014/9/18,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip
14,Docstrings should be defined,MAJOR,5,2014/9/19,2014/9/23,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip,026b86d6347ce32bfa6ed1e6f629740eb1697b6c,Justin Yip
57,Source files should have a sufficient density of comment lines,MAJOR,50,2014/9/18,2014/9/23,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,908668cffaf72c3ca298e80b164ff00fe2eb9890,Justin Yip
281,Syntax error,MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/18,2015/1/15,AW7Ncl_qxTKPnYLZNQJN,predictionio-sdk-python/examples/event_sample.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
281,Syntax error,MAJOR,5,2014/9/19,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip
276,Access of nonexistent member,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ece7189c6eafd5a5aaf6bd42fb03577d1970f71a,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
276,Access of nonexistent member,MAJOR,10,2014/9/18,2014/9/19,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,59380d88ad2f19fa19f00af32888b80e67ae902d,Justin Yip,cd439edcac34034737c14504b68ddca9a83639a5,Justin Yip
14,Docstrings should be defined,MAJOR,5,2014/9/19,2014/11/12,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,fd634edb41c9e55223b905822f9faff2a0c14f0c,Justin Yip
281,Syntax error,MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
360,Undefined name,MAJOR,10,2014/9/19,2014/10/13,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,5d0e72016953322c1de4252c588836efdad5a4fb,Filipe Varela
360,Undefined name,MAJOR,10,2014/9/19,2014/10/13,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,5d0e72016953322c1de4252c588836efdad5a4fb,Filipe Varela
360,Undefined name,MAJOR,10,2014/9/19,2014/10/13,AW7M5L5xxTKPnYLZNPVp,predictionio-sdk-python/predictionio/__init__.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,5d0e72016953322c1de4252c588836efdad5a4fb,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/19,2015/1/15,AW7NeGlPxTKPnYLZNQWq,predictionio-sdk-python/examples/itemrank_quick_start.py,predictionio-sdk-python,5fa5bbca737a223986aeceab50e12dd27377b8d3,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeGlPxTKPnYLZNQWq,predictionio-sdk-python/examples/itemrank_quick_start.py,predictionio-sdk-python,3343dff1c317d16efb239eea067e1fe3c065230f,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
281,Syntax error,MAJOR,5,2014/9/19,2014/9/20,AW7NeGlPxTKPnYLZNQWq,predictionio-sdk-python/examples/itemrank_quick_start.py,predictionio-sdk-python,5fa5bbca737a223986aeceab50e12dd27377b8d3,Justin Yip,3343dff1c317d16efb239eea067e1fe3c065230f,Justin Yip
281,Syntax error,MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeST_xTKPnYLZNQXq,predictionio-sdk-python/examples/demo-movielens/appdata.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,14a14879bb96cecffcefaaaa829b6a52bda2145c,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
281,Syntax error,MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2014/9/20,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,14a14879bb96cecffcefaaaa829b6a52bda2145c,Justin Yip
16,"Sections of code should not be ""commented out""",MAJOR,5,2014/9/20,2014/9/20,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,de0ff6145e553d018fe269ae3da81343d2983e37,Justin Yip
16,"Sections of code should not be ""commented out""",MAJOR,5,2014/9/20,2014/9/20,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,de0ff6145e553d018fe269ae3da81343d2983e37,Justin Yip
